Homology group node id,class,Genome 1,Genome 2,Genome 3,Genome 4
651085,core & single copy orthologous,1,1,1,1
651086,core,2,2,2,2
651087,core & single copy orthologous,1,1,1,1
651088,core,1,2,1,1
651089,core & single copy orthologous,1,1,1,1
651098,core & single copy orthologous,1,1,1,1
651099,core & single copy orthologous,1,1,1,1
651100,core & single copy orthologous,1,1,1,1
651101,core & single copy orthologous,1,1,1,1
651102,core & single copy orthologous,1,1,1,1
651103,core & single copy orthologous,1,1,1,1
651106,core & single copy orthologous,1,1,1,1
651109,core & single copy orthologous,1,1,1,1
651110,core & single copy orthologous,1,1,1,1
651111,core & single copy orthologous,1,1,1,1
651112,core & single copy orthologous,1,1,1,1
651113,core & single copy orthologous,1,1,1,1
651114,core & single copy orthologous,1,1,1,1
651115,core & single copy orthologous,1,1,1,1
651116,core & single copy orthologous,1,1,1,1
651117,core & single copy orthologous,1,1,1,1
651118,core & single copy orthologous,1,1,1,1
651119,core & single copy orthologous,1,1,1,1
651120,core & single copy orthologous,1,1,1,1
651121,core & single copy orthologous,1,1,1,1
651122,core & single copy orthologous,1,1,1,1
651127,core & single copy orthologous,1,1,1,1
651128,core & single copy orthologous,1,1,1,1
651129,core & single copy orthologous,1,1,1,1
651130,core & single copy orthologous,1,1,1,1
651131,core & single copy orthologous,1,1,1,1
651132,core & single copy orthologous,1,1,1,1
651133,core & single copy orthologous,1,1,1,1
651134,core & single copy orthologous,1,1,1,1
651135,core & single copy orthologous,1,1,1,1
651136,core & single copy orthologous,1,1,1,1
651137,core & single copy orthologous,1,1,1,1
651138,core & single copy orthologous,1,1,1,1
651139,core & single copy orthologous,1,1,1,1
651148,core & single copy orthologous,1,1,1,1
651149,core & single copy orthologous,1,1,1,1
651150,core & single copy orthologous,1,1,1,1
651151,core & single copy orthologous,1,1,1,1
651152,core & single copy orthologous,1,1,1,1
651153,core & single copy orthologous,1,1,1,1
651154,core & single copy orthologous,1,1,1,1
651155,core & single copy orthologous,1,1,1,1
651156,core & single copy orthologous,1,1,1,1
651157,core & single copy orthologous,1,1,1,1
651158,core & single copy orthologous,1,1,1,1
651159,core & single copy orthologous,1,1,1,1
651160,core,1,1,1,2
651161,core & single copy orthologous,1,1,1,1
651162,core & single copy orthologous,1,1,1,1
651163,core & single copy orthologous,1,1,1,1
651164,core & single copy orthologous,1,1,1,1
651165,core & single copy orthologous,1,1,1,1
651166,core & single copy orthologous,1,1,1,1
651167,core & single copy orthologous,1,1,1,1
651168,core & single copy orthologous,1,1,1,1
651169,core & single copy orthologous,1,1,1,1
651170,core & single copy orthologous,1,1,1,1
651171,core & single copy orthologous,1,1,1,1
651172,core & single copy orthologous,1,1,1,1
651173,core & single copy orthologous,1,1,1,1
651174,core & single copy orthologous,1,1,1,1
651175,core & single copy orthologous,1,1,1,1
651180,core & single copy orthologous,1,1,1,1
651182,core & single copy orthologous,1,1,1,1
651183,core & single copy orthologous,1,1,1,1
651184,core & single copy orthologous,1,1,1,1
651185,core & single copy orthologous,1,1,1,1
651187,core & single copy orthologous,1,1,1,1
651188,core & single copy orthologous,1,1,1,1
651189,core & single copy orthologous,1,1,1,1
651197,core,2,1,1,1
651198,core & single copy orthologous,1,1,1,1
651200,core & single copy orthologous,1,1,1,1
651201,core & single copy orthologous,1,1,1,1
651202,core & single copy orthologous,1,1,1,1
651203,core & single copy orthologous,1,1,1,1
651204,core & single copy orthologous,1,1,1,1
651205,core & single copy orthologous,1,1,1,1
