homology_group,1,2,3,4
35348947,1,1,1,1
35348948,1,1,1,1
35348949,1,0,1,0
35348950,1,1,1,1
35348951,1,1,1,1
35348952,0,0,0,1
35348953,0,0,1,0
35348954,1,1,1,1
35348955,1,1,1,1
35348956,1,1,1,1
35348957,1,1,0,1
35348958,1,1,1,1
35348959,0,0,1,0
35348960,1,1,1,1
35348961,1,1,1,1
35348962,1,1,1,1
35348963,1,1,1,1
35348964,1,1,1,1
35348965,1,1,0,1
35348966,1,0,1,0
35348967,1,1,1,1
35348968,1,1,1,1
35348969,1,1,1,1
35348970,1,1,1,1
35348971,1,1,1,1
35348972,1,1,1,1
35348973,1,0,1,0
35348974,1,1,1,1
35348975,1,1,1,1
35348976,1,1,1,1
35348977,1,0,0,0
35348978,1,1,1,1
35348979,1,1,1,1
35348980,1,1,1,1
35348981,1,1,1,1
35348982,1,1,1,1
35348983,1,1,1,1
35348984,1,1,1,1
35348985,0,1,1,1
35348986,1,1,1,1
35348987,1,1,1,1
35348988,1,1,1,1
35348989,1,0,0,0
35348990,1,0,0,0
35348991,1,1,1,1
35348992,1,1,1,1
35348993,1,1,1,1
35348994,1,0,0,0
35348995,0,0,1,0
35348996,0,0,0,1
35348997,0,1,0,0
35348998,0,0,1,0
35348999,0,0,0,1
35349000,0,1,0,0
35349001,1,0,0,0
35349002,1,1,1,1
35349003,1,1,0,1
35349004,1,1,0,1
35349005,1,1,1,1
35349006,1,0,0,0
35349007,1,0,0,0
35349008,1,0,0,0
35349009,1,1,1,1
35349010,1,1,1,1
35349011,1,1,1,1
35349012,1,1,1,1
35349013,1,1,1,1
35349014,1,0,1,0
35349015,0,1,0,1
35349016,1,1,1,1
35349017,1,0,0,0
35349018,1,1,1,1
35349019,1,0,0,0
35349020,1,0,0,0
35349021,1,1,1,1
35349022,1,0,0,0
35349023,1,0,0,0
35349024,1,1,1,1
35349025,1,1,1,1
35349026,1,1,1,1
35349027,1,1,1,1
35349028,1,1,1,1
35349029,1,1,1,1
35349030,1,1,1,1
35349031,1,1,1,1
35349032,1,1,1,1
35349033,1,1,1,1
35349034,1,1,1,1
35349035,1,1,1,0
35349036,1,0,1,1
