#Please be aware that not every genome will have a gene in accessory groups
Homology group,Class,Genome number,Number of copies,Genome 1,Genome 2,Genome 3,Genome 4
35348271,accessory,1,1,,1,,,
35348271,accessory,3,1,,1,,,
35348271,accessory,4,1,,1,,,
35348272,accessory,1,1,,1,,,
35348272,accessory,3,1,,1,,,
35348272,accessory,4,1,,1,,,
35348274,accessory,1,1,,1,,,
35348274,accessory,3,1,,1,,,
35348274,accessory,4,1,,1,,,
35348276,accessory,1,1,,1,,,
35348276,accessory,3,1,,1,,,
35348276,accessory,4,1,,1,,,
35348277,accessory,1,1,,1,,,
35348277,accessory,3,1,,1,,,
35348277,accessory,4,1,,1,,,
35348278,accessory,1,1,,1,,,
35348278,accessory,3,1,,1,,,
35348278,accessory,4,1,,1,,,
35348279,accessory,1,1,,1,,,
35348279,accessory,3,1,,1,,,
35348279,accessory,4,1,,1,,,
35348280,accessory,1,1,,1,,,
35348280,accessory,3,1,,1,,,
35348280,accessory,4,1,,1,,,
35348282,accessory,1,1,,1,,,
35348282,accessory,3,1,,1,,,
35348282,accessory,4,1,,1,,,
35348283,accessory,1,1,,1,,,
35348283,accessory,3,1,,1,,,
35348283,accessory,4,1,,1,,,
35348285,accessory,1,1,,1,,,
35348285,accessory,3,1,,1,,,
35348285,accessory,4,1,,1,,,
35348286,accessory,1,1,,1,,,
35348286,accessory,3,1,,1,,,
35348286,accessory,4,1,,1,,,
35348288,accessory,1,1,,1,,,
35348288,accessory,3,1,,1,,,
35348288,accessory,4,1,,1,,,
35348289,accessory,1,1,,1,,,
35348289,accessory,3,1,,1,,,
35348289,accessory,4,1,,1,,,
35348290,accessory,1,1,,1,,,
35348290,accessory,3,1,,1,,,
35348290,accessory,4,1,,1,,,
35348291,accessory,1,1,,1,,,
35348291,accessory,3,1,,1,,,
35348291,accessory,4,1,,1,,,
35348293,accessory,1,1,,1,,,
35348293,accessory,3,1,,1,,,
35348293,accessory,4,1,,1,,,
35348295,accessory,1,1,,1,,,
35348295,accessory,3,1,,1,,,
35348295,accessory,4,1,,1,,,
35348296,accessory,1,1,,1,,,
35348296,accessory,3,1,,1,,,
35348296,accessory,4,1,,1,,,
35348297,core,1,2,,1,1,,
35348297,core,4,2,,1,1,,
35348309,accessory,1,1,,1,,,
35348309,accessory,3,1,,1,,,
35348309,accessory,4,1,,1,,,
35348310,accessory,1,1,,1,,,
35348310,accessory,3,1,,1,,,
35348310,accessory,4,1,,1,,,
35348311,accessory,1,1,,1,,,
35348311,accessory,3,1,,1,,,
35348311,accessory,4,1,,1,,,
35348315,accessory,1,1,,1,,1,
35348315,accessory,3,1,,1,,1,
35348316,core,2,3,1,,,,
35348316,core,3,3,1,,,,
35348316,core,4,3,1,,,,
35348318,core,2,2,1,,,,
35348318,core,3,2,1,,,,
35348318,core,4,2,1,,,,
35348320,accessory,1,2,,2,1,2,
35348322,accessory,1,1,,1,,,
35348322,accessory,3,1,,1,,,
35348322,accessory,4,1,,1,,,
35348323,accessory,1,1,,1,,,
35348323,accessory,3,1,,1,,,
35348323,accessory,4,1,,1,,,
35348325,accessory,4,2,1,2,1,,
35348326,accessory,1,1,,1,,,
35348326,accessory,3,1,,1,,,
35348326,accessory,4,1,,1,,,
35348327,accessory,1,1,,1,1,,
35348327,accessory,4,1,,1,1,,
35348328,accessory,1,1,,1,,,
35348328,accessory,3,1,,1,,,
35348328,accessory,4,1,,1,,,
35348329,accessory,1,1,,1,,,
35348329,accessory,3,1,,1,,,
35348329,accessory,4,1,,1,,,
35348331,accessory,1,1,,1,,,
35348331,accessory,3,1,,1,,,
35348331,accessory,4,1,,1,,,
35348332,accessory,1,1,,1,,,
35348332,accessory,3,1,,1,,,
35348332,accessory,4,1,,1,,,
35348333,accessory,1,2,,2,1,1,
35348334,accessory,1,1,,1,,,
35348334,accessory,3,1,,1,,,
35348334,accessory,4,1,,1,,,
35348335,accessory,1,1,,1,,,
35348335,accessory,3,1,,1,,,
35348335,accessory,4,1,,1,,,
35348337,accessory,1,1,,1,,,
35348337,accessory,3,1,,1,,,
35348337,accessory,4,1,,1,,,
35348339,accessory,1,1,,1,,,
35348339,accessory,3,1,,1,,,
35348339,accessory,4,1,,1,,,
35348340,accessory,1,1,,1,,,
35348340,accessory,3,1,,1,,,
35348340,accessory,4,1,,1,,,
35348341,accessory,3,1,1,1,,,
35348341,accessory,4,1,1,1,,,
35348342,accessory,1,1,,1,,,
35348342,accessory,3,1,,1,,,
35348342,accessory,4,1,,1,,,
35348343,accessory,1,1,,1,,,
35348343,accessory,3,1,,1,,,
35348343,accessory,4,1,,1,,,
35348344,accessory,1,1,,1,,,
35348344,accessory,3,1,,1,,,
35348344,accessory,4,1,,1,,,
35348346,accessory,1,1,,1,,,
35348346,accessory,3,1,,1,,,
35348346,accessory,4,1,,1,,,
35348347,accessory,1,1,,1,1,,
35348347,accessory,4,1,,1,1,,
35348348,accessory,1,1,,1,,,
35348348,accessory,3,1,,1,,,
35348348,accessory,4,1,,1,,,
35348349,accessory,1,1,,1,,,
35348349,accessory,3,1,,1,,,
35348349,accessory,4,1,,1,,,
35348350,accessory,1,1,,1,,,
35348350,accessory,3,1,,1,,,
35348350,accessory,4,1,,1,,,
35348351,accessory,1,1,,1,,,
35348351,accessory,3,1,,1,,,
35348351,accessory,4,1,,1,,,
35348352,accessory,1,1,,1,,1,
35348352,accessory,3,1,,1,,1,
35348357,accessory,1,1,,1,,,
35348357,accessory,3,1,,1,,,
35348357,accessory,4,1,,1,,,
35348358,accessory,1,1,,,,1,
35348358,accessory,2,1,,,,1,
35348358,accessory,3,1,,,,1,
35348361,accessory,1,1,,1,,,
35348361,accessory,3,1,,1,,,
35348361,accessory,4,1,,1,,,
35348362,accessory,1,1,,1,,,
35348362,accessory,3,1,,1,,,
35348362,accessory,4,1,,1,,,
35348365,accessory,1,1,,1,,,
35348365,accessory,3,1,,1,,,
35348365,accessory,4,1,,1,,,
35348366,accessory,1,1,,1,,,
35348366,accessory,3,1,,1,,,
35348366,accessory,4,1,,1,,,
35348367,accessory,1,1,,1,,,
35348367,accessory,3,1,,1,,,
35348367,accessory,4,1,,1,,,
35348368,accessory,1,2,,1,2,2,
35348370,accessory,1,1,,1,,,
35348370,accessory,3,1,,1,,,
35348370,accessory,4,1,,1,,,
35348371,accessory,1,1,,1,,,
35348371,accessory,3,1,,1,,,
35348371,accessory,4,1,,1,,,
35348372,accessory,1,1,,1,,1,
