x,y,Category
6,25690,Core
5,89290,Total
4,81811,Total
5,27025,Core
4,52840,Dispensable
9,85889,Dispensable
6,65595,Dispensable
8,105462,Total
7,73268,Dispensable
7,24209,Core
3,73856,Total
4,52619,Dispensable
7,24647,Core
7,23475,Core
4,26025,Core
5,25407,Core
5,60766,Dispensable
6,92646,Total
8,105213,Total
7,98891,Total
9,109994,Total
4,53741,Dispensable
8,22922,Core
7,24332,Core
2,61529,Total
9,86890,Dispensable
5,62535,Dispensable
6,93540,Total
6,94752,Total
9,86200,Dispensable
5,25061,Core
6,93175,Total
8,79985,Dispensable
9,22831,Core
4,28729,Core
2,29140,Core
9,109276,Total
4,28380,Core
6,92925,Total
8,24047,Core
7,24284,Core
7,100228,Total
5,87656,Total
7,101283,Total
8,103584,Total
10,112950,Total
7,75500,Dispensable
7,100389,Total
8,105376,Total
9,87123,Dispensable
9,86112,Dispensable
7,75969,Dispensable
4,28451,Core
7,101122,Total
6,25184,Core
7,75925,Dispensable
8,105741,Total
9,88134,Dispensable
4,79787,Total
9,109555,Total
7,100419,Total
4,82216,Total
7,97960,Total
7,76522,Dispensable
7,76511,Dispensable
7,25018,Core
7,24352,Core
7,25093,Core
6,93137,Total
8,23381,Core
8,23751,Core
6,68265,Dispensable
8,103144,Total
9,22698,Core
4,27937,Core
7,98173,Total
7,100505,Total
3,27678,Core
2,33322,Core
9,85343,Dispensable
9,109151,Total
6,93173,Total
9,87658,Dispensable
8,103586,Total
9,109430,Total
5,25777,Core
4,28746,Core
4,78261,Total
7,25459,Core
6,91346,Total
3,71348,Total
7,98856,Total
8,23731,Core
9,110546,Total
5,62546,Dispensable
7,74610,Dispensable
7,23838,Core
6,67496,Dispensable
5,87214,Total
8,101759,Total
7,74169,Dispensable
6,93416,Total
7,98769,Total
3,42113,Dispensable
6,95243,Total
9,87890,Dispensable
9,86233,Dispensable
2,28215,Dispensable
6,94032,Total
5,25404,Core
6,92837,Total
5,86722,Total
3,41891,Dispensable
7,76158,Dispensable
8,80525,Dispensable
10,113759,Total
6,67342,Dispensable
8,24485,Core
8,105654,Total
6,93980,Total
5,60799,Dispensable
8,104442,Total
10,115233,Total
9,22760,Core
7,75257,Dispensable
5,88235,Total
8,23744,Core
8,23659,Core
9,85735,Dispensable
6,93417,Total
8,78566,Dispensable
6,94311,Total
6,69243,Dispensable
6,26369,Core
6,69254,Dispensable
8,81415,Dispensable
7,77048,Dispensable
5,60678,Dispensable
8,81426,Dispensable
7,73356,Dispensable
10,90055,Dispensable
8,105933,Total
8,104721,Total
9,109150,Total
7,76412,Dispensable
9,84724,Dispensable
6,68232,Dispensable
9,109747,Total
8,24105,Core
6,94312,Total
6,93100,Total
5,59818,Dispensable
6,26359,Core
9,84067,Dispensable
8,80536,Dispensable
4,52983,Dispensable
6,25618,Core
7,75511,Dispensable
5,60788,Dispensable
9,23144,Core
7,75533,Dispensable
7,74257,Dispensable
5,86723,Total
7,72345,Dispensable
8,23686,Core
7,99069,Total
11,118150,Total
8,23676,Core
7,74621,Dispensable
10,91320,Dispensable
