x,y,Category
9,130294,Total
10,126806,Total
3,42118,Dispensable
9,130904,Total
5,88704,Total
6,101787,Total
6,75655,Dispensable
10,21187,Core
3,43284,Dispensable
8,82084,Dispensable
8,92519,Dispensable
7,120114,Total
9,20853,Core
4,27615,Core
7,74969,Dispensable
8,102157,Dispensable
9,129497,Total
5,61413,Dispensable
9,122090,Total
4,88379,Total
5,80181,Dispensable
10,123315,Total
6,24460,Core
9,122804,Total
9,129584,Total
9,128372,Total
10,23080,Core
7,22367,Core
8,105129,Total
13,20561,Core
8,81073,Dispensable
7,83510,Dispensable
6,81957,Dispensable
10,124052,Total
4,92703,Total
9,117724,Total
9,119251,Total
9,117498,Total
7,23896,Core
12,20563,Core
8,93685,Dispensable
9,96801,Dispensable
7,101036,Total
7,119178,Total
9,130679,Total
5,80820,Dispensable
7,22897,Core
11,21846,Core
6,80715,Dispensable
7,87323,Dispensable
6,70577,Dispensable
7,24101,Core
6,106522,Total
5,63789,Dispensable
9,94127,Dispensable
5,24656,Core
9,22342,Core
9,120906,Total
11,116437,Dispensable
11,118937,Total
9,99614,Dispensable
5,24058,Core
10,131365,Total
9,107213,Dispensable
10,135597,Total
4,52945,Dispensable
7,25089,Core
7,76506,Dispensable
9,110334,Total
8,93443,Dispensable
9,96271,Dispensable
10,126930,Total
6,25757,Core
9,122101,Total
7,23298,Core
7,85897,Dispensable
7,113089,Total
10,20829,Core
10,111557,Dispensable
11,125720,Total
11,138478,Total
6,24738,Core
6,80924,Dispensable
8,22365,Core
10,125822,Total
3,69422,Total
9,122628,Total
4,63553,Dispensable
12,20315,Core
8,118336,Total
7,110624,Total
2,71842,Total
9,119811,Total
10,134117,Total
3,27159,Core
5,93456,Total
13,144439,Total
9,130114,Total
10,92022,Dispensable
6,22581,Core
10,125071,Total
11,106753,Dispensable
8,116930,Total
11,127916,Total
7,77528,Dispensable
10,101707,Dispensable
12,20688,Core
9,96823,Dispensable
3,30254,Core
11,20702,Core
5,71110,Dispensable
7,119120,Total
8,22385,Core
5,63778,Dispensable
5,25991,Core
6,24144,Core
7,107774,Total
7,90735,Dispensable
4,60740,Dispensable
5,72705,Dispensable
6,79402,Dispensable
4,80006,Total
7,24142,Core
9,86685,Dispensable
5,25468,Core
7,24226,Core
6,68132,Dispensable
9,108578,Dispensable
5,87867,Total
12,122730,Dispensable
7,108461,Total
10,112337,Dispensable
7,76715,Dispensable
5,96565,Total
12,133039,Total
6,24772,Core
7,88114,Dispensable
6,99771,Total
7,78892,Dispensable
8,124715,Total
6,94101,Total
7,106141,Total
8,123873,Total
11,21392,Core
3,30170,Core
5,99402,Total
11,128566,Total
8,23873,Core
9,22026,Core
10,133171,Total
5,94475,Total
7,100015,Total
9,22712,Core
6,94520,Total
10,126106,Total
5,26477,Core
7,111501,Total
5,88743,Total
8,106463,Total
7,22870,Core
10,133609,Total
11,118383,Dispensable
7,112857,Total
12,21101,Core
7,23095,Core
8,115440,Total
8,89781,Dispensable
4,27893,Core
9,111498,Total
8,21637,Core
8,93156,Dispensable
5,85634,Total
4,28176,Core
7,22405,Core
11,127547,Total
11,115857,Dispensable
5,59399,Dispensable
8,94156,Dispensable
9,130259,Total
7,99683,Total
10,123122,Total
7,23414,Core
6,93979,Total
10,134050,Total
5,88886,Total
6,87241,Dispensable
9,127911,Total
11,116085,Dispensable
9,109181,Dispensable
8,88781,Dispensable
1,46657,Core
7,83565,Dispensable
9,122157,Total
4,53173,Dispensable
6,82163,Dispensable
11,117096,Dispensable
7,23153,Core
12,113570,Dispensable
9,128439,Total
8,93421,Dispensable
2,33560,Core
8,118197,Total
9,95558,Dispensable
5,23928,Core
8,106617,Total
6,94579,Total
6,25486,Core
5,60435,Dispensable
5,61468,Dispensable
6,77292,Dispensable
9,121138,Total
11,21103,Core
6,105456,Total
10,123734,Total
10,21557,Core
9,109624,Total
9,108170,Dispensable
7,84709,Dispensable
4,27245,Core
7,108806,Total
7,118802,Total
8,94398,Dispensable
3,29650,Core
10,135262,Total
9,96051,Dispensable
6,22879,Core
7,98382,Total
10,134383,Total
10,104089,Dispensable
5,87253,Total
8,105585,Total
5,96283,Total
9,110755,Total
12,135211,Total
